model,perturbation,exact_match,mean_abs_diff,spearman,kendall,category_flips,n
Llama 3.1,Typos,0.47,0.76,0.22749860764552104,0.2184238939001673,0.11,100
Llama 3.1,Filler,0.89,0.13,0.697653000363887,0.6934097318767992,0.01,100
Llama 3.1,Bullets,0.84,0.18,0.5875104251697805,0.5832169865494169,0.01,100
Llama 3.1,Shuffled,0.57,0.87,0.27223820044138786,0.256733113239203,0.21,100
Mistral,Typos,0.74,0.35,0.6717836535956951,0.6322242993973233,0.04,100
Mistral,Filler,0.86,0.15,0.8253786359207881,0.805988585093579,0.01,100
Mistral,Bullets,0.8282828282828283,0.1919191919191919,0.8084556520141489,0.7930349715404532,0.010101010101010102,99
Mistral,Shuffled,0.59,0.54,0.5474701991874495,0.5086926653146039,0.03,100
